Referencia,Modelo,Cuadro,Rueda,Talla,Color,Año,E-SYSTEM,DLR ID,DLR Name,Payment,Target AVB,Categoría, Promoción, Tarifa, PVP,Sep Net,Oct Net,Nov Net,Dec Net,Jan Net,Feb Net,Mar Net,Apr Net,Mai Net
2892974,Cairon C 2.0 500,Trapez,27,XS,black metallic / mint,2024,BES 2 CX ,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.549,95 € ","  1.744,95 € ","  2.899,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823029,Cairon C 2.0 500,Herren,27,S,darkpetrol metallic / red,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823037,Cairon C 2.0 500,Herren,29,M,darkpetrol metallic / red,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823045,Cairon C 2.0 500,Herren,29,L,darkpetrol metallic / red,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823052,Cairon C 2.0 500,Herren,29,XL,darkpetrol metallic / red,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823086,Cairon C 2.0 500,Trapez,27,S,darkpetrol metallic / red,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823094,Cairon C 2.0 500,Trapez,29,M,darkpetrol metallic / red,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823102,Cairon C 2.0 500,Trapez,29,L,darkpetrol metallic / red,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823144,Cairon C 2.0 500,Trapez,29,XL,darkpetrol metallic / red,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823177,Cairon C 2.0 500,Herren,27,S,black metallic matt / turquoise metallic,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823185,Cairon C 2.0 500,Herren,29,M,black metallic matt / turquoise metallic,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823201,Cairon C 2.0 500,Herren,29,XL,black metallic matt / turquoise metallic,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823276,Cairon C 2.0 500,Trapez,27,XS,black metallic matt / turquoise metallic,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823284,Cairon C 2.0 500,Trapez,27,S,black metallic matt / turquoise metallic,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823292,Cairon C 2.0 500,Trapez,29,M,black metallic matt / turquoise metallic,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823300,Cairon C 2.0 500,Trapez,29,L,black metallic matt / turquoise metallic,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2823342,Cairon C 2.0 500,Trapez,29,XL,black metallic matt / turquoise metallic,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.732,95 € ","  1.985,95 € ","  3.299,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2819498,Cairon C 2.0 625,Herren,27,S,black metallic matt / turquoise metallic,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.837,95 € ","  2.105,95 € ","  3.499,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2819548,Cairon C 2.0 625,Herren,29,M,black metallic matt / turquoise metallic,2024,BES 3 CX Smart Sys.,#REF!,#REF!,#REF!,#REF!,CAIRON C / C FS,"  1.837,95 € ","  2.105,95 € ","  3.499,95 € ",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
